mse,mae,rmse,rse,mape,wape,smape,mse_in_range,n_out_of_range,frac_err_out_of_range,branch_mse_stwaveformer,branch_mse_in_range_stwaveformer,dm_stat_vs_stwaveformer,dm_p_vs_stwaveformer,branch_mse_xgboost,branch_mse_in_range_xgboost,dm_stat_vs_xgboost,dm_p_vs_xgboost,branch_mse_lightgbm_res,branch_mse_in_range_lightgbm_res,dm_stat_vs_lightgbm_res,dm_p_vs_lightgbm_res,blend_time_ms,inference_time_ms,stacking_fit_time_s,selected_loss,selected_scope,mean_w_stwaveformer,mean_w_xgboost,mean_w_lightgbm_res,run
0.0018409544512571732,0.01627232258243897,0.0429063451165113,0.0918172330945793,0.3082664611853542,0.1472284332194826,28.87108822644788,0.0013165082782506943,3450,0.28667327761650085,0.001947328681126237,0.001425559283234179,-6.312497195145233,2.7456836804162776e-10,0.0027442050632089376,0.0011180220171809196,-3.346384263108747,0.0008187284999978672,0.001849702326580882,0.0013284838059917092,-5.55103771808046,2.8397880047492663e-08,0.017992913332515553,13.462186379759563,32.5884259689999,huber,global,0.003750759642571211,0.0228091049939394,0.9734401702880859,0
0.0018423845686546493,0.016284441258788758,0.042923007451186934,0.0918885599122238,0.30600876181179204,0.14733808036558813,28.71229485081433,0.00130896782502532,3450,0.29130956530570984,0.001987159252166748,0.0014642375754192472,-10.100503171308132,0.0,0.0027782770339399576,0.0011225667549297214,-3.3502444495212838,0.0008074027235720482,0.0018626706441864371,0.0013419263996183872,-4.469116355641684,7.854339821422585e-06,0.017325773333141115,13.629580553812655,34.1653862510002,huber,global,0.0038372506387531757,0.0648370310664177,0.9313257932662964,1
0.001858091646394325,0.016293751522216224,0.04310558718303609,0.09267194725625812,0.3090556635941822,0.14742231760279517,28.782398937511232,0.0013338607968762517,3450,0.28393691778182983,0.001972886733710766,0.001458117738366127,-6.93748435642298,3.991473818132363e-12,0.002763948403298855,0.0011244076304137707,-3.264522131502674,0.0010964889649036635,0.0018622319912537932,0.0013392146211117506,-6.1047704652657,1.029485163783761e-09,0.018089553333690372,14.815972459817507,34.071330150999984,huber,global,0.0035356266889721155,0.00953521579504013,0.9869290590286255,2
0.0018467847495085993,0.016289820911965052,0.0429742335534748,0.09210801804756742,0.3046267063236062,0.14738675429670015,28.751401601150363,0.0013131465530022979,3450,0.29074135422706604,0.0019658685196191072,0.0014500555116683245,-7.839115717159096,4.440892098500626e-15,0.002771718194708228,0.0011225612834095955,-3.3102155464954945,0.0009322415224342073,0.0018608609680086374,0.0013345495099201798,-4.835559047565182,1.3277195329841618e-06,0.01763089333356523,16.37206163321783,34.0609517339999,huber,global,0.0046366541646420956,0.041567977517843246,0.953795313835144,3
0.0018430874297396533,0.016284409856733906,0.04293119413363264,0.09192361496751365,0.3051107650783994,0.14733779624663015,28.743831164165822,0.0013184644049033523,3450,0.28644025325775146,0.0019547275733202696,0.0014253517147153616,-5.910087692297317,3.419256655590175e-09,0.002760638715699315,0.0011229001684114337,-3.329908521199694,0.0008687452070283985,0.0018540613818913698,0.0013340748846530914,-5.290440024592121,1.2202243149239678e-07,0.01882789333346106,11.713229712840985,33.58048743199993,huber,global,0.003287177998572588,0.03011903539299965,0.9665937423706055,4
