mse,mae,rmse,rse,mape,wape,smape,mse_in_range,config,dataset,run,note
0.00407369608100182,0.038455505577960056,0.06382551277507936,0.03900632649147858,0.20460923174519868,0.07651566263109304,28.58375828794642,0.003971425350755453,full,SDN,0,
0.004728372298736033,0.04008475224944268,0.0687631609129193,0.04527496160499127,0.21135009585980613,0.07975740621980415,28.91531293929464,0.004626284819096327,no_stwaveformer,SDN,0,
0.00421171450263499,0.0391484402389554,0.06489772340101763,0.040327876138043776,0.21003239720774308,0.07789440811757803,28.87918072529975,0.004109331406652927,no_xgboost,SDN,0,
0.0049064731767488445,0.042322094115064025,0.07004622171644125,0.04698030752625063,0.21935691353446543,0.08420908856820675,29.299815701782382,0.00480491342023015,no_lightgbm_res,SDN,0,
0.004731064143123275,0.040101644538077144,0.06878273143110322,0.045300736468639705,0.21141045460104674,0.07979101713295678,29.51631504072003,0.004629001021385193,global_only,SDN,0,
0.00407369608100182,0.038455505577960056,0.06382551277507936,0.03900632649147858,0.20460923174519868,0.07651566263109304,28.58375828794642,0.003971425350755453,perflow_only,SDN,0,
0.0064125713225468405,0.04675222849955237,0.08007853222023266,0.061401451086071555,0.23208343394850572,0.09302381256882401,30.49567305082818,0.006315050181001425,static_average,SDN,0,
0.004770212028600369,0.04035668922410004,0.06906672157124855,0.04567558406944428,0.21382190371301793,0.08029848447367392,28.771203808450558,0.004667868837714195,best_single_val,SDN,0,lightgbm_res
0.004736240329442255,0.040135135310446234,0.06882034822232633,0.04535029932495598,0.2117930663151756,0.07985765436997484,29.568966369547354,0.00463416613638401,context_gate,SDN,0,
0.003974651719443186,0.03789197841680688,0.06304483895961022,0.0380579600381947,0.20164743397854765,0.07539440174794483,28.430250139452536,0.003872150322422385,full,SDN,1,
0.004649859162892215,0.03963792935313969,0.06818987580933268,0.044523185097932676,0.20858165907733703,0.07886835406782926,29.43400912244489,0.004547654651105404,no_stwaveformer,SDN,1,
0.004104611108522383,0.03852577051680023,0.06406723896440664,0.03930234308991455,0.20634901837006162,0.07665547013782806,28.701432279878198,0.0040016621351242065,no_xgboost,SDN,1,
0.004809036733676514,0.041801081619438366,0.06934721864412814,0.0460473371634461,0.2186865587921776,0.08317241993668771,29.56629670135905,0.00470861978828907,no_lightgbm_res,SDN,1,
