epoch,seed,lr,train_loss,val_loss
1,45,0.001,0.07671258598566055,0.07366795423958036
2,45,0.0009999383779245895,0.07401172959190958,0.07159628470738728
3,45,0.000999753526902683,0.07017137888161575,0.06629193656974369
4,45,0.0009994454925435043,0.06568690367481288,0.06503051353825463
5,45,0.000999014350849922,0.06456032384406118,0.06266305181715223
6,45,0.0009984602081996978,0.06493901417535894,0.06247073246373071
7,45,0.0009977832013192388,0.06338183220256777,0.0621067521472772
8,45,0.0009969834972498627,0.06455042103634161,0.06225248177846273
9,45,0.000996061293306582,0.06306946321445353,0.061579528782102794
10,45,0.0009950168170294207,0.0627645033356898,0.06676156570514043
11,45,0.0009938503261272716,0.06503338125698707,0.06158533733752039
12,45,0.0009925621084143099,0.06257781106978655,0.06120698981814914
13,45,0.0009911524817389804,0.06233368479811093,0.06683884974983004
14,45,0.0009896217939055723,0.06391670686357162,0.06104977470305231
15,45,0.0009879704225884047,0.061950666556025255,0.06054524373677042
16,45,0.0009861987752386398,0.06446352727053796,0.06092585167951054
17,45,0.0009843072889837514,0.06182385614032254,0.06042630929085943
18,45,0.0009822964305196704,0.06407041836749106,0.06100032851099968
19,45,0.0009801666959956333,0.06178404955083833,0.06016082316637039
20,45,0.0009779186108917661,0.06140841932638603,0.060298196557495326
21,45,0.0009755527298894296,0.06301903708235305,0.06056595469514529
22,45,0.0009730696367343592,0.061272942789775485,0.060282882716920644
23,45,0.0009704699440926359,0.06111911689753041,0.06018409215741687
24,45,0.0009677542933995191,0.06690740689416141,0.07099940379460652
25,45,0.0009649233547011819,0.06590998337111052,0.06068654316994879
26,45,0.000961977826489388,0.06180005082312752,0.06048144151767095
27,45,0.0009589184355291488,0.06162876948056852,0.059899124006430306
28,45,0.0009557459366794051,0.06146794574006515,0.06584068553315268
29,45,0.000952461112706777,0.06571104174808544,0.060714635998010635
30,45,0.0009490647740924278,0.06140696158742204,0.05986329995923572
31,45,0.00094555775883209,0.0620804398375399,0.060201303826438055
32,45,0.0009419409322293028,0.061568726840264654,0.059994612716966204
33,45,0.0009382151866819101,0.060888412627665436,0.06097961962223053
34,45,0.0009343814414618769,0.06126858956892701,0.06069796780745188
35,45,0.0009304406424884702,0.061290772303062326,0.059907366832097374
36,45,0.0009263937620948695,0.06103453697527156,0.06005432912045055
37,45,0.000922241798788257,0.06287928917171325,0.060045464171303645
38,45,0.0009179857770034514,0.060829272055450606,0.05958412753211127
39,45,0.000913626746850144,0.06077188795761151,0.059711178557740316
40,45,0.0009091657838537996,0.06071617065326256,0.059501804411411285
41,45,0.0009046039886902867,0.061234453254762816,0.06022097501489851
42,45,0.0008999424869143022,0.06118432848769076,0.05954626119799084
43,45,0.0008951824286816577,0.060757951756172324,0.05997839570045471
44,45,0.0008903249884654961,0.06099014762131607,0.06128475318352381
45,45,0.0008853713647665072,0.06337353000965189,0.06034216367536121
46,45,0.000880322779817216,0.06121147801990018,0.059811946004629135
47,45,0.0008751804792804151,0.06065245942376992,0.059563259697622724
48,45,0.000869945731941816,0.06072093382039491,0.05995286049114333
49,45,0.0008646198293969955,0.06342707585324259,0.05969432658619351
50,45,0.0008592040857327133,0.06085021361051237,0.06028674625688129
51,45,0.0008536998372026809,0.06073406174340669,0.05946464588244756
52,45,0.0008481084418978613,0.06052170677439255,0.059305219186676875
53,45,0.0008424312794113804,0.06052583932657452,0.059487892935673393
54,45,0.000836669750498132,0.06108104914207669,0.05941787858804067
55,45,0.0008308252767291643,0.06068759751232231,0.059524706254402794
56,45,0.000824899300140927,0.060933204312973166,0.06079037735859553
57,45,0.0008188932828794707,0.06185309008202132,0.05935278203752306
58,45,0.000812808706839685,0.06046899884720059,0.05986447632312775
59,45,0.000806647073299662,0.06056492666111273,0.05929363601737552
60,45,0.0008004099025502793,0.06040993562954314,0.06084008556273249
61,45,0.0007940987335200906,0.060585351660847664,0.05956564388341374
62,45,0.0007877151233956179,0.06114399350960465,0.05946698784828186
63,45,0.0007812606472371395,0.0605165371671319,0.05983134276337094
64,45,0.000774736897590067,0.06106221944312839,0.05963777833514743
65,45,0.0007681454840920089,0.06214563000728102,0.0598523219426473
66,45,0.0007614880330756165,0.06066671901327722,0.059493416299422584
67,45,0.0007547661871673105,0.06044843995614963,0.0593914534482691
68,45,0.0007479816048819877,0.06041875361081432,0.05937375335229768
69,45,0.0007411359602138068,0.060447339406784845,0.059304548220502004
70,45,0.0007342309422231565,0.060489676728406376,0.05930440955691867
71,45,0.0007272682546199037,0.06032734829932451,0.060162523140509926
72,45,0.0007202496153430296,0.06042535066166345,0.05934351227349705
73,45,0.000713176756136754,0.06351051386445761,0.07532794359657499
74,45,0.000706051422123252,0.06610582445693367,0.05977144920163684
75,45,0.000698875371372073,0.06058526296606835,0.05944838830166393
76,45,0.0006916503744663626,0.06031625170041533,0.05922896828916338
77,45,0.0006843782140659969,0.06024079052183558,0.05969687385691537
